CollectionTime,Value,ParameterName,UnitName,Location
2000-06-12 00:00:00,0.3,,ft,TRB-LDS
2000-06-19 00:00:00,0.3,,ft,TRB-LDS
2000-06-26 00:00:00,0.3,,ft,TRB-LDS
2000-06-27 00:00:00,0.3,,ft,TRB-LDS
1996-03-20 00:00:00,0.32,,ft,Cell1-LDS
2000-04-03 00:00:00,0.3,,ft,Lift Station A LDS
2000-04-10 00:00:00,0.3,,ft,Lift Station A LDS
2000-04-17 00:00:00,0.3,,ft,Lift Station A LDS
2000-04-20 00:00:00,0.3,,ft,Lift Station A LDS
2000-04-24 00:00:00,0.3,,ft,Lift Station A LDS
2000-05-01 00:00:00,0.3,,ft,Lift Station A LDS
2000-05-08 00:00:00,0.4,,ft,Lift Station A LDS
2000-05-09 00:00:00,0.3,,ft,Lift Station A LDS
2000-05-15 00:00:00,0.4,,ft,Lift Station A LDS
2000-05-18 00:00:00,0.4,,ft,Lift Station A LDS
1996-03-21 00:00:00,0.36,,ft,Cell1-LDS
2000-06-01 00:00:00,-99.0,,ft,L3-19
2000-06-01 00:00:00,24.06,,ft,L4-31
2000-06-01 00:00:00,26.02,,ft,BP-1
2000-06-01 00:00:00,27.48,,ft,BP-2
2000-06-01 00:00:00,31.64,,ft,BP-4
2000-06-01 00:00:00,-99.0,,ft,BP-5
2000-06-01 00:00:00,-99.0,,ft,BP-6
2000-06-01 00:00:00,-99.0,,ft,BP-7
2000-06-01 00:00:00,-99.0,,ft,BP-8
2000-06-01 00:00:00,47.06,,ft,BP-10
1996-03-22 00:00:00,0.37,,ft,Cell1-LDS
2000-06-01 00:00:00,-99.0,,ft,BP-10A
2000-06-01 00:00:00,41.04,,ft,BP-11
2000-06-01 00:00:00,-99.0,,ft,BP-11A
2000-06-01 00:00:00,40.04,,ft,BP-12
2000-06-01 00:00:00,-99.0,,ft,BP-12A
2000-06-01 00:00:00,39.88,,ft,BP-13
2000-06-01 00:00:00,-99.0,,ft,BP-13A
2000-05-24 00:00:00,0.4,,ft,Lift Station A LDS
2000-05-25 00:00:00,0.4,,ft,Lift Station A LDS
2000-05-26 00:00:00,0.4,,ft,Lift Station A LDS
1996-12-05 00:00:00,1.84,,ft,Cell1-LCS
1997-12-19 00:00:00,0.65,,ft,Cell2-LDS
2000-05-30 00:00:00,0.4,,ft,Lift Station A LDS
2000-03-03 00:00:00,4.2,,ft,SSRB South
2000-03-08 00:00:00,4.9,,ft,SSRB South
2000-03-10 00:00:00,4.9,,ft,SSRB South
2000-03-14 00:00:00,4.9,,ft,SSRB South
2000-03-20 00:00:00,4.9,,ft,SSRB South
